"","V1","V2"
"220",116.058081780604,106.543864232055
"221",118.697447812866,109.160351230385
"222",96.5460886264301,109.572124989426
"223",104.135037974268,118.776947035552
"224",111.723987322106,128.220987956365
"225",130.941596420768,142.118666242042
"226",119.105038195633,130.065293301803
"227",107.268479970497,118.182815960544
"228",116.554096023328,124.589164074654
"229",125.839712076159,131.24176218867
"230",134.481125355471,135.502740110276
"231",143.122538634784,140.042067949957
"232",147.939966304908,140.963679332149
"233",152.757393975032,142.238906214293
"234",155.050872167246,142.084463651409
"235",157.344350359459,142.254060956469
"236",162.317647662886,144.267142026494
"237",167.290944966312,146.560451781883
"238",168.629604356385,147.062078090947
"239",169.968263746458,147.67829037666
"240",165.832249224067,145.129856437771
"241",161.696234701676,142.782172242381
"242",155.27728525327,137.942825529674
"243",148.858335804864,133.286600853744
"244",124.948226746898,113.001931455533
"245",101.038117688932,93.0644120832077
"246",107.855690383374,99.2753319746105
"247",114.673263077816,105.680181721349
"248",95.8398204748748,111.905651422571
"249",98.4652371484219,114.677697040098
"250",101.090653821969,117.812368735479
"251",102.462103110576,110.809929167873
"252",113.664947507192,118.378684434898
"253",124.867791903807,126.251381646497
"254",129.823806586481,127.636959576733
"255",134.779821269155,129.304899669947
"256",137.748245156209,129.667806469644
"257",140.716669043264,130.300167966307
"258",147.83706780684,133.758552971588
"259",154.957466570415,137.468799386363
"260",153.299694752836,135.79397974114
"261",151.641922935258,134.221798859094
"262",149.858662002611,132.82798242169
"263",148.075401069964,131.566289222517
"264",138.28886099241,123.947993549748
"265",128.502320914856,116.506753684525
"266",112.28929536231,102.720403730932
"267",96.0762698097641,89.1598863561347
"268",96.3663242010373,89.5121469540672
"269",96.6563785923105,89.9995336354251
"270",79.0844941449932,90.8732086067296
"271",92.8487696589119,101.586902560487
"272",106.613045172831,112.724830684618
"273",111.707646868054,114.563559952336
"274",116.802248563277,116.63761562489
"275",120.445618145173,117.509723282479
"276",124.088987727069,118.61265078373
"277",133.356487950793,123.480804916032
"278",142.623988174518,128.608441944601
"279",137.969785149288,124.770198273673
"280",133.315582124057,121.067230414364
"281",133.885074781154,120.734484614125
